552:[553, 554, 555, 556, 558]
553:[552, 554, 555, 556, 558]
566:[552, 553, 554, 555, 556]
573:[552, 553, 554, 555, 556]
608:[605, 606, 607, 609, 610]
611:[605, 606, 607, 608, 609]
614:[605, 606, 607, 608, 609]
617:[605, 606, 607, 608, 609]
644:[590, 642, 643, 645, 646]
802:[552, 553, 554, 555, 556]
810:[552, 553, 554, 555, 556]
839:[552, 553, 554, 555, 556]
845:[552, 553, 554, 555, 556]
865:[552, 553, 554, 555, 556]
866:[863, 1045, 135199, 34877, 34882]
921:[919, 923, 924, 926, 927]
1051:[552, 553, 554, 555, 556]
1072:[552, 553, 554, 555, 556]
1214:[1255, 14914, 75616, 75617, 34880]
1267:[1767, 1770, 14921, 14922, 14923]
1766:[1261, 1258, 1260, 1262, 1259]
14892:[14887, 14888, 14889, 14890, 14891]
14904:[14905, 14906, 121068, 14907, 14908]
26324:[1256, 1230, 1231, 1232, 1234]
34302:[34312, 34301, 34311, 34303, 34313]
34314:[34304, 34301, 34311, 34880, 34885]
34438:[34433, 34441, 34580, 34585, 34590]
34439:[34434, 34442, 34581, 34586, 34591]
34466:[34447, 34457, 34476, 34487, 34497]
34513:[34377, 34473, 34483, 34523, 34552]
34518:[34449, 34459, 34468, 34478, 34489]
34520:[34451, 34461, 34470, 34480, 34491]
34549:[34451, 34461, 34470, 34480, 34491]
34552:[34377, 34473, 34483, 34513, 34523]
34560:[34471, 34481, 34511, 34521, 34550]
34582:[34587, 34592, 34601, 34611, 34620]
34608:[34580, 34585, 34590, 34597, 34616]
34620:[34582, 34587, 34592, 34601, 34611]
34625:[34579, 34584, 34589, 34595, 34606]
34682:[34447, 34457, 34466, 34476, 34487]
34786:[34791, 34805, 36286, 36291, 36296]
34883:[34878, 34898, 34903, 34998, 35003]
34904:[34879, 34884, 34899, 34999, 35004]
34970:[34930, 34935, 34965, 34880, 34885]
35877:[34199, 35882, 35887, 34200, 34201]
35882:[34199, 35877, 35887, 34200, 34201]
35883:[34200, 35878, 35888, 26275, 34199]
36285:[34785, 34790, 34804, 34809, 36290]
36287:[36292, 36297, 36307, 36312, 34453]
36299:[34784, 34789, 34803, 34808, 36284]
36320:[34843, 34848, 36315, 36325, 34433]
37188:[37187, 31782, 14962, 14963, 14964]
46984:[46978, 46979, 46981, 46983, 14905]
75542:[75541, 14966, 14967, 1780, 75573]
75604:[75692, 75693, 75694, 75695, 75696]
75623:[75539, 75540, 75604, 75692, 75693]
75644:[75595, 75596, 75598, 75599, 75633]
75646:[75595, 75596, 75598, 75599, 75633]
75654:[75595, 75596, 75598, 75599, 75633]
75657:[75648, 75638, 75683, 75629, 75604]
75683:[75619, 75689, 75611, 75612, 75613]
75761:[75760, 75765, 75604, 75692, 75693]
127372:[127373, 127374, 127375, 135186, 121068]
127417:[34880, 34885, 34900, 34905, 34930]
135191:[135198, 135200, 135201, 1064, 1066]
135194:[135195, 1045, 135199, 135200, 135201]
137384:[137383, 213157, 137385, 137377, 137379]
137565:[137561, 137377, 637, 640, 639]
137861:[213041, 213273, 212320, 137396, 137398]
215984:[552, 553, 554, 555, 556]
216881:[552, 553, 554, 555, 556]
216885:[552, 553, 554, 555, 556]
216888:[552, 553, 554, 555, 556]
216895:[552, 553, 554, 555, 556]
218445:[552, 553, 554, 555, 556]
218721:[552, 553, 554, 555, 556]
218722:[552, 553, 554, 555, 556]
218726:[552, 553, 554, 555, 556]
218958:[552, 553, 554, 555, 556]
219217:[552, 553, 554, 555, 556]
219270:[552, 553, 554, 555, 556]
219275:[552, 553, 554, 555, 556]
221932:[552, 553, 554, 555, 556]
222630:[552, 553, 554, 555, 556]
225899:[552, 553, 554, 555, 556]
225900:[552, 553, 554, 555, 556]
246395:[552, 553, 554, 555, 556]
246616:[552, 553, 554, 555, 556]
246704:[552, 553, 554, 555, 556]
267511:[267556, 267495, 271616, 271617, 271618]
271096:[352530, 271884, 271730, 273242, 267625]
271641:[271887, 352630, 271882, 271618, 271724]
271725:[271616, 271617, 271619, 271621, 271627]
271727:[271728, 271730, 267625, 271070, 271611]
271884:[352530, 271883, 352594, 271096, 271730]
271940:[271935, 271937, 271938, 271941, 271942]
271950:[271951, 271952, 271953, 271954, 271955]
271955:[271950, 271951, 271952, 271953, 271954]
273371:[271730, 267625, 271070, 271611, 271614]
355584:[552, 553, 554, 555, 556]
