552:[553, 554, 555, 556, 558]
553:[552, 554, 555, 556, 558]
566:[552, 553, 554, 555, 556]
573:[552, 553, 554, 555, 556]
608:[614, 615, 612, 610, 606]
611:[219218, 34809, 137608, 34539, 34558]
614:[615, 612, 610, 608, 606]
617:[34808, 74019, 34489, 34509, 219221]
644:[552, 553, 554, 555, 556]
802:[135199, 219219, 36312, 34405, 218760]
810:[75583, 34965, 616, 859, 834]
839:[1045, 798, 35878, 137249, 34301]
845:[720, 1030, 219212, 846, 825]
865:[213076, 215984, 213074, 215983, 213077]
866:[128199, 213074, 213041, 135132, 135133]
921:[919, 920, 922, 923, 924]
1051:[1046, 866, 836, 1047, 1053]
1072:[1076, 34044, 34033, 34313, 216888]
1214:[1255, 75722, 75727, 271937, 271938]
1267:[1142, 74017, 1035, 212320, 271730]
1766:[1258, 1262, 1261, 1259, 1260]
14892:[14891, 14887, 14893, 14888, 14889]
14904:[14906, 14907, 121068, 128545, 14905]
26324:[1256, 83597, 215690, 808, 75569]
34302:[218726, 1232, 218789, 34405, 218718]
34314:[807, 34706, 36327, 34561, 34522]
34438:[34585, 36305, 34790, 34655, 34468]
34439:[34586, 34791, 34470, 36306, 34434]
34466:[34614, 34789, 36304, 34506, 34653]
34513:[34493, 34640, 34659, 34678, 34697]
34518:[34664, 36295, 34508, 34655, 34441]
34520:[34666, 36311, 36296, 34480, 34559]
34549:[34694, 36306, 34510, 34657, 34791]
34552:[34533, 34678, 34697, 34493, 34513]
34560:[34541, 34686, 34705, 34501, 34521]
34582:[34435, 34965, 34592, 34930, 34443]
34608:[34628, 34459, 34479, 34809, 34785]
34620:[34472, 36307, 36292, 34512, 34587]
34625:[34476, 36309, 36294, 34789, 36304]
34682:[34701, 34537, 34556, 34644, 34663]
34786:[34461, 34481, 34629, 34501, 34521]
34883:[35003, 75686, 218719, 218721, 35005]
34904:[34899, 34999, 35004, 135216, 34969]
34970:[34935, 35005, 34885, 34582, 267502]
35877:[34518, 34664, 34655, 34441, 36295]
35882:[271070, 36301, 34478, 34627, 36285]
35883:[34043, 137037, 34694, 34704, 34549]
36285:[36300, 34590, 34441, 36310, 34627]
36287:[34377, 34706, 34561, 34512, 34522]
36299:[36284, 36304, 34789, 34466, 36309]
36320:[34843, 36315, 36325, 34848, 34684]
37188:[37187, 248620, 128199, 213041, 213076]
46984:[75761, 1079, 246616, 137029, 271841]
75542:[271950, 271951, 271952, 271953, 271955]
75604:[219237, 219106, 1234, 75571, 219244]
75623:[75539, 83600, 213751, 34606, 34626]
75644:[75595, 75596, 75598, 75599, 75633]
75646:[75595, 75596, 75598, 75599, 75633]
75654:[75595, 75596, 75598, 75599, 75633]
75657:[219235, 34844, 36321, 218918, 246337]
75683:[217518, 34451, 34471, 216653, 34501]
75761:[137381, 75760, 818, 35884, 46984]
127372:[127373, 127374, 215905, 215689, 75631]
127417:[216148, 271842, 217392, 271724, 135132]
135191:[137030, 75550, 246340, 246375, 213271]
135194:[34303, 14903, 75661, 218447, 137026]
137384:[137383, 137385, 34809, 639, 640]
137565:[216653, 127354, 218924, 218959, 1261]
137861:[219309, 213753, 212321, 246739, 919]
215984:[213076, 213074, 213077, 865, 128199]
216881:[216158, 75753, 14902, 216895, 218631]
216885:[271793, 271882, 218922, 218978, 14904]
216888:[216895, 14908, 14921, 37152, 14923]
216895:[216888, 75540, 216881, 216894, 1211]
218445:[216653, 1035, 75565, 137608, 75764]
218721:[218719, 35005, 34586, 34883, 35003]
218722:[218729, 216537, 18840, 854, 246647]
218726:[218729, 34302, 218759, 34847, 137032]
218958:[217101, 218928, 217392, 75756, 83603]
219217:[14904, 218894, 219210, 14907, 219205]
219270:[34691, 219044, 34527, 34546, 34653]
219275:[552, 553, 554, 555, 556]
221932:[833, 137561, 215984, 866, 216489]
222630:[213751, 213273, 271882, 75753, 219312]
225899:[552, 553, 554, 555, 556]
225900:[552, 553, 554, 555, 556]
246395:[1030, 34438, 848, 34522, 218727]
246616:[246615, 1079, 607, 135203, 34551]
246704:[219245, 75760, 219235, 1229, 246717]
267511:[34648, 34667, 218750, 216880, 213752]
271096:[267498, 267497, 271097, 267503, 1780]
271641:[14909, 273371, 137529, 1214, 1255]
271725:[271729, 271616, 271722, 271636, 271640]
271727:[216891, 355023, 127344, 222294, 246644]
271884:[271883, 1231, 218769, 14934, 218884]
271940:[271945, 271965, 271845, 246426, 248138]
271950:[271951, 271952, 271953, 271955, 271956]
271955:[271950, 271951, 271952, 271953, 271956]
273371:[271641, 74018, 34461, 34481, 34405]
355584:[354534, 354663, 222634, 248620, 213041]
