Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	SKNSH AUTONOMIC GANGLIA	1/94	0.9974321988435402	1.0	0	0	0.17340338830220742	0.0004458380780709924	GRM7
Cancer_Cell_Line_Encyclopedia	NCIH716 LARGE INTESTINE	7/266	0.9975115527425832	1.0	0	0	0.4289452236949341	0.0010687378665811891	CHGA;EML5;TPH2;WDR25;APOH;SERPINA10;SCN3B
Cancer_Cell_Line_Encyclopedia	SW480 LARGE INTESTINE	2/130	0.9975208637140782	1.0	0	0	0.2507679769293461	0.0006224598916097178	CYP2A7;PPP1R2
Cancer_Cell_Line_Encyclopedia	KPL1 BREAST	2/130	0.9975208637140782	1.0	0	0	0.2507679769293461	0.0006224598916097178	SMARCD2;AK7
Cancer_Cell_Line_Encyclopedia	RCHACV HAEMATOPOIETIC AND LYMPHOID TISSUE	3/161	0.997574347361392	1.0	0	0	0.3037251894485869	0.0007376267824827343	TCL1A;DOK3;PIK3CG
Cancer_Cell_Line_Encyclopedia	CAPAN2 PANCREAS	1/95	0.9975903038574644	1.0	0	0	0.17157808947797365	0.00041395000777362935	AK7
Cancer_Cell_Line_Encyclopedia	HS888T BONE	1/95	0.9975903038574644	1.0	0	0	0.17157808947797365	0.00041395000777362935	FBLN5
Cancer_Cell_Line_Encyclopedia	RT4 URINARY TRACT	2/131	0.9976576466479746	1.0	0	0	0.24885371756347324	0.0005835870902269174	NETO1;UGT1A8
Cancer_Cell_Line_Encyclopedia	GCIY STOMACH	2/133	0.9979092712944092	1.0	0	0	0.2451115563971052	0.0005129982241494795	PTPRD;SERPINA6
Cancer_Cell_Line_Encyclopedia	SNU449 LIVER	2/133	0.9979092712944092	1.0	0	0	0.2451115563971052	0.0005129982241494795	DIO3;DLK1
Cancer_Cell_Line_Encyclopedia	MKN1 STOMACH	1/98	0.9980085471358604	1.0	0	0	0.16632569898374994	0.0003315600424059012	JPH3
Cancer_Cell_Line_Encyclopedia	NCIH2110 LUNG	2/134	0.9980248878921651	1.0	0	0	0.24328236567772385	0.00048098510233998167	RIT1;TPM3
Cancer_Cell_Line_Encyclopedia	SNU5 STOMACH	3/165	0.9980337922348717	1.0	0	0	0.2963621545528636	0.0005832831856345267	SERPINA3;GATAD1;KRIT1
Cancer_Cell_Line_Encyclopedia	EVSAT BREAST	5/221	0.9980820140859468	1.0	0	0	0.3687764366608031	0.0007079871829182789	EXOC3L4;CBX2;DEGS2;TMEM186;OAZ3
Cancer_Cell_Line_Encyclopedia	CALU3 LUNG	1/99	0.9981311481756	1.0	0	0	0.16464564141825758	0.00030798618734151226	SERPINA3
Cancer_Cell_Line_Encyclopedia	HDQP1 BREAST	1/99	0.9981311481756	1.0	0	0	0.16464564141825758	0.00030798618734151226	RNMT
Cancer_Cell_Line_Encyclopedia	T84 LARGE INTESTINE	1/99	0.9981311481756	1.0	0	0	0.16464564141825758	0.00030798618734151226	HEPH
Cancer_Cell_Line_Encyclopedia	HCC15 LUNG	1/99	0.9981311481756	1.0	0	0	0.16464564141825758	0.00030798618734151226	TLR6
Cancer_Cell_Line_Encyclopedia	COLO800 SKIN	2/135	0.9981341904514492	1.0	0	0	0.2414802740801111	0.00045097705076140916	SERPINA3;ITPK1
Cancer_Cell_Line_Encyclopedia	HS294T SKIN	3/166	0.9981346302928849	1.0	0	0	0.29457684036881016	0.0005500078580732958	SERPINA3;PTPRZ1;SERPINA5
Cancer_Cell_Line_Encyclopedia	KELLY AUTONOMIC GANGLIA	7/273	0.9981577335637822	1.0	0	0	0.4179466282155768	0.0007706791616395106	CHGA;EML5;MATR3;MYT1;DLK1;UNC79;PRIMA1
Cancer_Cell_Line_Encyclopedia	ALEXANDERCELLS LIVER	5/222	0.9981700568359338	1.0	0	0	0.3671152815407094	0.0006724155287944004	PPP1R2;SERPINA1;APOH;SERPINA10;SERPINA6
Cancer_Cell_Line_Encyclopedia	MDAMB415 BREAST	5/222	0.9981700568359338	1.0	0	0	0.3671152815407094	0.0006724155287944004	CAPN6;IGHMBP2;SLC5A11;DEGS2;APBB3
Cancer_Cell_Line_Encyclopedia	BCPAP THYROID	4/195	0.9981749997899616	1.0	0	0	0.3343573025724615	0.0006107596353264657	CCBE1;NETO1;NOTCH4;LSAMP
Cancer_Cell_Line_Encyclopedia	DKMG CENTRAL NERVOUS SYSTEM	3/167	0.9982303988752782	1.0	0	0	0.29281290719294906	0.0005186210615664851	CYP2A6;CYP46A1;SLC25A47
Cancer_Cell_Line_Encyclopedia	ONS76 CENTRAL NERVOUS SYSTEM	1/100	0.9982461958277896	1.0	0	0	0.16299918500407498	0.00028611962302364677	PRIMA1
Cancer_Cell_Line_Encyclopedia	TOLEDO HAEMATOPOIETIC AND LYMPHOID TISSUE	3/168	0.9983213458820422	1.0	0	0	0.2910699732215624	0.0004890163687617389	FCRL1;TCL1A;URB2
Cancer_Cell_Line_Encyclopedia	OVISE OVARY	3/168	0.9983213458820422	1.0	0	0	0.2910699732215624	0.0004890163687617389	PREX2;SOX17;RAB24
Cancer_Cell_Line_Encyclopedia	NCIH1437 LUNG	2/137	0.9983351905055046	1.0	0	0	0.23795501460448898	0.00039647989096942073	CATSPERB;MGRN1
Cancer_Cell_Line_Encyclopedia	SW48 LARGE INTESTINE	2/137	0.9983351905055046	1.0	0	0	0.23795501460448898	0.00039647989096942073	RFNG;BEGAIN
Cancer_Cell_Line_Encyclopedia	SCLC21H LUNG	11/371	0.9983367092574486	1.0	0	0	0.4832859932735377	0.0008045143749035883	CHGA;SYNPR;RPS6KL1;DTNA;RTN1;NETO1;RUFY3;CACNA1A;SCN3B;MYT1;UNC79
Cancer_Cell_Line_Encyclopedia	HSC2 UPPER AERODIGESTIVE TRACT	1/101	0.9983541550056084	1.0	0	0	0.16138533168720295	0.0002658340612122511	PPP4R4
Cancer_Cell_Line_Encyclopedia	SUDHL5 HAEMATOPOIETIC AND LYMPHOID TISSUE	7/276	0.9983821355972704	1.0	0	0	0.4134037300827989	0.0006693728021953107	FCRL1;PPM1A;TCL1A;DOK3;SERPINA9;PIK3CG;SH2B2
Cancer_Cell_Line_Encyclopedia	AMO1 HAEMATOPOIETIC AND LYMPHOID TISSUE	4/198	0.9984274623467804	1.0	0	0	0.32929128283651515	0.0005182305165148236	GRK6;DLAT;PIK3CG;SH2B2
Cancer_Cell_Line_Encyclopedia	KYSE140 OESOPHAGUS	1/102	0.9984554620602654	1.0	0	0	0.15980312255301468	0.0002470127951320869	PTPRZ1
Cancer_Cell_Line_Encyclopedia	SW579 THYROID	1/102	0.9984554620602654	1.0	0	0	0.15980312255301468	0.0002470127951320869	FBLN5
Cancer_Cell_Line_Encyclopedia	KPNYN AUTONOMIC GANGLIA	9/326	0.9984620636513686	1.0	0	0	0.4499977500112499	0.000692600620999158	CHGA;EML5;RTN1;CAPN6;GRM7;SCN3B;DLK1;UNC79;PRIMA1
Cancer_Cell_Line_Encyclopedia	SNU1040 LARGE INTESTINE	2/139	0.9985147734317892	1.0	0	0	0.2345312014447122	0.0003485909038233083	HEPH;UGT1A8
Cancer_Cell_Line_Encyclopedia	HS746T STOMACH	1/103	0.9985505264640768	1.0	0	0	0.15825163592628638	0.0002295479603572519	DTNA
Cancer_Cell_Line_Encyclopedia	KNS62 LUNG	2/140	0.9985972445469776	1.0	0	0	0.23285597857725	0.00032686930620562117	CYP2A13;PPP4R4
Cancer_Cell_Line_Encyclopedia	MEC1 HAEMATOPOIETIC AND LYMPHOID TISSUE	5/228	0.9986215488671494	1.0	0	0	0.3574543530791118	0.0004930732747804212	NETO1;GPR65;GRAP2;TLR6;FAIM3
Cancer_Cell_Line_Encyclopedia	KARPAS620 HAEMATOPOIETIC AND LYMPHOID TISSUE	5/228	0.9986215488671494	1.0	0	0	0.3574543530791118	0.0004930732747804212	PAK1;SLC5A11;FAIM3;MYOM2;SH2B2
Cancer_Cell_Line_Encyclopedia	NCIH1355 LUNG	1/104	0.998639732606344	1.0	0	0	0.15672998558084136	0.0002133398215133684	DIO3
