Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_TF_ChIP-seq_2014	PGC1A HEPG2	2/19	0.3267716236372981	1.0	0	0	1.7157808947797364	1.9190902084528567	DNAJA1;TCP1
ENCODE_TF_ChIP-seq_2014	NCOR1 K562	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	MAPK1
ENCODE_TF_ChIP-seq_2014	ERRA HEPG2	2/43	0.7499230075435104	1.0	0	0	0.7581357442049999	0.21817989373210064	RNMT;GDI2
ENCODE_TF_ChIP-seq_2014	ERRA T47D	4/85	0.7734007742592932	1.0	0	0	0.7670549882544705	0.19710083796798095	RPS6KL1;SERPINA1;CCDC88C;HSPB1
ENCODE_TF_ChIP-seq_2014	FOXA1 A549	2/48	0.8022500912160602	1.0	0	0	0.6791632708503124	0.14964336137726442	PDE1A;CAPN2
ENCODE_TF_ChIP-seq_2014	BCL11A H1	1/29	0.8407669261590986	1.0	0	0	0.5620661551864654	0.09748520155703368	POLDIP3
ENCODE_TF_ChIP-seq_2014	BDP1 HELA-S3	1/49	0.9552260401621832	1.0	0	0	0.33265139796749993	0.015237854145356746	RAC1
ENCODE_TF_ChIP-seq_2014	SREBP2 GM12878	8/214	0.9552854392402191	1.0	0	0	0.6093427476787849	0.027874441211756324	GLRX5;GATAD1;IGHMBP2;YME1L1;DICER1;RAC1;RFNG;EMD
ENCODE_TF_ChIP-seq_2014	BDP1 K562	1/55	0.9694073021603676	1.0	0	0	0.2963621545528636	0.009208097485211708	RAC1
ENCODE_TF_ChIP-seq_2014	SREBP2 HEPG2	1/57	0.9730554134724044	1.0	0	0	0.2859634824632894	0.007810877268544578	G3BP1
ENCODE_TF_ChIP-seq_2014	NELFE K562	3/114	0.9739113970847608	1.0	0	0	0.4289452236949341	0.011339144495736385	EIF5;POLDIP3;RPL10A
ENCODE_TF_ChIP-seq_2014	HSF1 HEPG2	4/143	0.9784623974496918	1.0	0	0	0.4559417762351747	0.009927184572411391	DNAJA1;TCP1;PAPOLA;UBQLN1
ENCODE_TF_ChIP-seq_2014	MAFK GM12878	1/62	0.9803851919245676	1.0	0	0	0.2629019112968951	0.0052080162889701674	GDI2
ENCODE_TF_ChIP-seq_2014	RFX5 IMR90	6/214	0.991930106747207	1.0	0	0	0.4570070607590887	0.0037029596177255695	ANKRD9;DNAJB1;PAIP2B;RPS6KA5;CYP46A1;MXD4
ENCODE_TF_ChIP-seq_2014	STAT2 K562	2/114	0.9938953429962236	1.0	0	0	0.2859634824632894	0.0017510592387665047	WDR25;GCLM
ENCODE_TF_ChIP-seq_2014	TR4 GM12878	7/251	0.9953181734538498	1.0	0	0	0.4545794004097709	0.0021332595856646697	SMARCD2;CAND1;GLRX5;TAF1A;URB2;DICER1;TRIM23
ENCODE_TF_ChIP-seq_2014	SUZ12 NT2D1	1/92	0.9970841759441172	1.0	0	0	0.17717302717834235	0.0005173600071636622	NEFL
ENCODE_TF_ChIP-seq_2014	NFE2 K562	3/159	0.99730680813443	1.0	0	0	0.3075456320831603	0.0008293967589171282	ATXN3;CAPN2;GCLM
ENCODE_TF_ChIP-seq_2014	BCL3 K562	4/189	0.9975462816634918	1.0	0	0	0.3449718201144444	0.0008475038742304044	SYCE2;RIT1;HIST1H2AH;POLDIP3
ENCODE_TF_ChIP-seq_2014	CJUN HELA-S3	3/164	0.9979276246142736	1.0	0	0	0.29816924086111274	0.0006185597611622572	PAK1;UTS2D;CAPN2
ENCODE_TF_ChIP-seq_2014	TCF7L2 HEPG2	3/168	0.9983213458820422	1.0	0	0	0.2910699732215624	0.0004890163687617389	SERPINA11;APOH;PPID
ENCODE_TF_ChIP-seq_2014	RPC155 K562	1/103	0.9985505264640768	1.0	0	0	0.15825163592628638	0.0002295479603572519	RAC1
ENCODE_TF_ChIP-seq_2014	JUND HCT116	4/202	0.998711710123972	1.0	0	0	0.3227706633744059	0.0004160902579230621	PNPLA8;POLDIP3;CPSF2;CAPN2
